time_s,dist_cm,dac_i2c
0.002,63.984376,8
0.111,63.984376,16
0.22,63.984376,24
0.329,63.984376,32
0.438,63.984376,40
0.547,63.984376,48
0.657,63.984376,56
0.766,63.984376,64
0.875,63.984376,72
0.985,63.984376,80
1.094,63.984376,88
1.244,63.984376,96
1.354,63.984376,104
1.463,63.984376,112
1.572,63.984376,120
1.682,63.984376,128
1.792,63.984376,136
1.902,63.984376,144
2.012,63.984376,152
2.167,63.984376,160
2.277,63.984376,168
2.387,63.984376,176
2.497,63.984376,184
2.607,63.984376,192
2.751,63.984376,200
2.893,63.984376,208
3.038,63.984376,216
3.184,63.984376,224
3.325,63.984376,232
3.507,63.984376,240
3.65,63.984376,248
3.79,63.984376,256
3.939,63.984376,264
4.081,63.984376,272
4.224,63.984376,280
4.367,63.984376,288
4.513,63.984376,296
4.66,63.984376,304
4.801,63.984376,312
4.944,63.984376,320
5.085,63.984376,328
5.227,63.984376,336
5.375,63.984376,344
5.521,63.984376,352
5.663,63.984376,360
5.857,63.984376,368
6.003,63.984376,376
6.146,63.984376,384
6.289,63.984376,392
6.434,63.984376,400
6.579,63.984376,408
6.726,63.984376,416
6.873,63.984376,424
7.023,63.984376,432
7.168,63.984376,440
7.313,63.984376,448
7.463,63.984376,456
7.608,63.984376,464
7.755,63.984376,472
7.9,63.984376,480
8.048,63.984376,488
8.233,63.984376,496
8.379,63.984376,504
8.523,63.984376,512
8.669,63.984376,520
8.815,63.984376,528
8.968,63.984376,536
9.117,63.984376,544
9.263,63.984376,552
9.408,63.984376,560
9.555,63.984376,568
9.7,63.984376,576
9.844,63.984376,584
9.989,63.984376,592
10.14,63.984376,600
10.287,63.984376,608
10.436,63.984376,616
10.633,63.984376,624
10.78,63.984376,632
10.926,63.984376,640
11.071,63.984376,648
11.216,63.984376,656
11.366,63.984376,664
11.517,63.984376,672
11.667,63.984376,680
11.817,20.5156252,688
11.967,16.15625,696
12.117,11.828125,704
12.267,8.984375,712
12.417,6.8125,720
12.566,8.28125,728
12.712,11.65625,736
12.859,15.65625,744
13.048,20.3281252,752
13.201,24.375,760
13.347,27.4531236,768
13.5,30.3593736,776
13.653,34.1875,784
13.802,36.421876,792
13.956,35.421876,800
14.106,30.9843736,808
14.26,26.40625,816
14.407,22.65625,824
14.555,19.3593744,832
14.709,16.109375,840
14.859,13.3125,848
15.005,11.046875,856
15.159,9.09375,864
15.307,7.90625,872
15.505,10.671875,880
15.661,14.40625,888
15.809,17.7343736,896
15.96,21.09375,904
16.109,23.7343736,912
16.268,26.0156252,920
16.424,28.2343736,928
16.58,30.3593736,936
16.734,32.578124,944
16.89,34.1875,952
17.039,34.859376,960
17.192,33.671876,968
17.343,31.7656268,976
17.499,29.65625,984
17.654,27.625,992
17.804,25.7968752,1000
17.998,23.6093744,1008
18.152,21.875,1016
18.303,20.0,1024
18.455,17.84375,1032
18.612,15.90625,1040
18.768,13.921875,1048
18.923,12.25,1056
19.074,10.890625,1064
19.227,9.75,1072
19.378,8.859375,1080
19.528,7.90625,1088
19.683,7.109375,1096
19.845,6.390625,1104
19.998,5.890625,1112
20.16,6.1875,1120
20.312,7.21875,1128
20.509,8.75,1136
20.666,10.21875,1144
20.818,11.421875,1152
20.976,12.984375,1160
21.135,14.65625,1168
21.293,16.046875,1176
21.453,17.5625,1184
21.605,19.1875,1192
21.757,20.6093744,1200
21.916,21.9843736,1208
22.078,23.5468752,1216
22.237,25.4218752,1224
22.399,27.4531236,1232
22.562,28.875,1240
22.717,30.25,1248
22.868,31.640626,1256
23.065,33.9375,1264
23.219,33.9375,1272
23.379,31.3125,1280
23.537,27.71875,1288
23.697,24.375,1296
23.852,22.1406252,1304
24.011,19.1875,1312
24.165,16.640625,1320
24.321,14.921875,1328
24.481,13.359375,1336
24.637,11.859375,1344
24.801,10.171875,1352
24.961,8.640625,1360
25.122,7.609375,1368
25.284,6.6875,1376
25.438,6.8125,1384
25.64,8.328125,1392
25.795,9.65625,1400
25.95,11.171875,1408
26.11,12.84375,1416
26.27,14.1875,1424
26.43,15.8125,1432
26.59,18.25,1440
26.747,20.28125,1448
26.904,21.7656252,1456
27.066,22.7031252,1464
27.227,24.0468752,1472
27.391,26.09375,1480
27.549,28.2343736,1488
27.714,29.65625,1496
27.876,30.78125,1504
28.032,32.21875,1512
28.23,32.453124,1520
28.399,26.1718752,1528
28.56,19.8281252,1536
28.759,12.390625,1544
28.903,14.28125,1552
29.046,21.7656252,1560
29.193,16.609375,1568
29.333,12.03125,1576
29.472,21.4531252,1584
29.616,25.5781252,1592
29.759,16.28125,1600
29.903,8.515625,1608
30.043,13.0625,1616
30.185,23.9218752,1624
30.329,33.421876,1632
30.469,63.984376,1640
30.658,63.984376,1648
30.8,63.984376,1656
30.94,63.984376,1664
31.082,63.984376,1672
31.225,31.9843736,1680
31.369,30.046876,1688
31.516,24.3125,1696
31.656,19.96875,1704
31.797,16.15625,1712
31.937,13.515625,1720
32.081,11.84375,1728
32.224,10.734375,1736
32.37,9.859375,1744
32.514,9.125,1752
32.655,9.515625,1760
32.796,12.375,1768
32.978,16.90625,1776
33.12,20.5625,1784
33.266,23.9843736,1792
33.416,26.6406252,1800
33.564,29.546876,1808
33.71,31.9843736,1816
33.854,33.171876,1824
33.996,32.34375,1832
34.137,63.984376,1840
34.279,63.984376,1848
34.425,63.984376,1856
34.57,33.546876,1864
34.715,31.53125,1872
34.865,26.875,1880
