time_s,dist_cm,dac_i2c
0.001,63.984376,0
0.142,63.984376,8
0.286,63.984376,16
0.427,63.984376,32
0.57,63.984376,40
0.713,63.984376,56
0.855,63.984376,64
0.996,63.984376,72
1.141,63.984376,88
1.282,63.984376,96
1.427,63.984376,112
1.569,63.984376,120
1.713,63.984376,136
1.856,63.984376,144
1.999,63.984376,152
2.142,63.984376,168
2.286,63.984376,176
2.43,63.984376,192
2.573,63.984376,200
2.717,63.984376,216
2.86,63.984376,224
3.004,63.984376,240
3.15,63.984376,248
3.292,63.984376,256
3.438,63.984376,272
3.612,63.984376,288
3.788,63.984376,296
3.964,63.984376,312
4.146,63.984376,328
4.32,9.5625,344
4.493,9.390625,352
4.669,9.03125,368
4.845,8.5625,384
5.02,8.171875,400
5.197,8.09375,408
5.374,8.09375,424
5.55,8.03125,440
5.724,8.125,456
5.907,8.203125,472
6.082,8.21875,480
6.262,8.1875,496
6.437,8.203125,512
6.614,8.1875,528
6.789,8.1875,536
6.972,8.203125,552
7.148,8.1875,568
7.329,8.1875,584
7.503,8.203125,600
7.679,8.203125,608
7.856,8.234375,624
8.032,8.234375,640
8.215,8.25,656
8.387,8.25,664
8.57,8.265625,680
8.745,8.265625,696
8.919,8.28125,712
9.088,8.265625,720
9.265,8.265625,736
9.444,8.25,752
9.624,8.28125,768
9.799,8.25,776
9.976,8.296875,792
10.156,9.34375,808
10.332,11.5,824
10.505,13.28125,840
10.681,14.75,848
10.859,14.0,864
11.038,14.078125,880
11.219,13.921875,896
11.402,13.875,912
11.574,13.765625,920
11.753,13.765625,936
11.934,13.828125,952
12.12,13.828125,968
12.304,13.859375,984
12.487,13.828125,992
12.667,13.859375,1008
12.85,13.859375,1024
13.028,13.859375,1040
13.21,13.859375,1056
13.393,13.859375,1064
13.585,13.859375,1080
13.765,13.859375,1096
13.957,13.859375,1112
14.14,13.875,1128
14.319,13.875,1144
14.503,13.890625,1160
14.681,13.921875,1168
14.864,13.921875,1184
15.047,13.890625,1200
15.231,13.875,1216
15.416,13.828125,1232
15.595,13.875,1240
15.775,14.40625,1256
15.958,15.46875,1272
16.144,17.2656252,1288
16.328,18.9375,1304
16.511,19.1406252,1320
16.695,19.1875,1328
16.877,19.0625,1344
17.056,18.90625,1360
17.236,18.8593744,1376
17.419,18.90625,1392
17.606,18.9375,1408
17.788,18.9375,1416
17.972,18.9375,1432
18.15,18.9375,1448
18.332,18.9843736,1464
18.517,18.9843736,1480
18.699,18.9843736,1488
18.883,18.9843736,1504
19.065,18.9843736,1520
19.258,19.03125,1536
19.444,19.0625,1552
19.628,18.90625,1568
19.817,18.8593744,1584
20.005,18.8281252,1600
20.191,18.9375,1608
20.368,19.03125,1624
20.551,19.53125,1640
20.733,21.09375,1656
20.918,23.4218752,1672
21.106,24.71875,1688
21.295,25.4218752,1696
21.482,24.8593744,1712
21.669,24.9218752,1728
21.857,24.78125,1744
22.043,24.65625,1760
22.229,24.5781252,1776
22.419,24.65625,1792
22.608,24.65625,1808
22.797,24.5781252,1816
22.983,24.5781252,1832
23.174,24.5781252,1848
23.371,23.6093744,1864
23.561,21.71875,1880
23.748,19.96875,1896
23.936,18.7031252,1912
24.128,17.6406252,1928
24.324,16.734375,1944
24.514,15.84375,1960
24.703,15.171875,1976
24.889,14.578125,1984
25.079,13.359375,2000
25.268,11.890625,2016
25.458,10.296875,2032
25.645,9.3125,2048
25.838,8.21875,2064
26.025,7.671875,2080
26.212,7.375,2096
26.396,8.0,2104
26.583,9.4375,2120
26.766,10.734375,2136
26.958,11.59375,2152
27.147,12.953125,2168
27.343,13.9375,2184
27.531,15.4375,2200
27.716,16.734375,2216
27.906,18.1406252,2232
28.099,19.53125,2240
28.291,21.0,2256
28.483,22.3593744,2272
28.676,23.5468752,2288
28.869,24.5781252,2304
29.063,25.4218752,2320
29.257,26.3281252,2336
29.455,27.375,2352
29.652,28.3281236,2368
29.848,29.1718752,2384
30.045,28.875,2400
30.232,27.296875,2416
30.426,25.9375,2432
30.614,24.375,2448
30.805,23.0625,2464
30.996,21.71875,2472
31.189,20.3281252,2488
31.389,19.2656252,2504
31.584,17.875,2520
31.771,16.640625,2536
31.968,15.484375,2552
32.158,14.328125,2568
32.355,13.0625,2584
32.551,12.03125,2600
32.754,11.25,2616
32.946,10.578125,2632
33.141,9.453125,2648
33.33,10.015625,2664
33.522,12.234375,2680
33.716,14.9375,2696
33.912,17.1875,2712
34.103,18.78125,2728
34.299,20.0,2736
34.523,21.5,2760
34.696,22.59375,2768
34.866,23.6093744,2784
35.043,24.71875,2800
35.219,25.9375,2816
35.394,26.875,2824
35.564,27.71875,2840
35.742,28.875,2856
35.913,29.65625,2872
36.088,30.3593736,2880
36.263,31.640626,2896
36.444,32.109376,2912
36.618,33.171876,2928
36.793,33.546876,2936
36.969,34.59375,2952
37.148,35.421876,2968
37.325,36.28125,2984
37.504,37.03125,3000
37.677,37.34375,3008
37.853,37.984376,3024
38.033,38.46875,3040
38.21,39.140624,3056
38.39,39.84375,3064
38.565,40.390624,3080
38.741,40.9375,3096
38.918,41.703124,3112
39.097,42.09375,3120
39.276,42.5,3136
39.453,43.328124,3152
39.633,42.09375,3168
39.814,40.5625,3184
39.99,39.5,3192
40.163,38.3125,3208
40.34,36.734376,3224
40.52,35.421876,3240
40.704,34.59375,3256
40.884,33.296876,3264
41.066,32.21875,3280
41.244,31.203125,3296
41.429,30.046876,3312
41.608,29.1718752,3328
41.788,28.2343736,3336
41.966,26.5625,3352
42.144,24.8593744,3368
42.329,23.6718752,3384
42.517,22.59375,3400
42.698,21.8125,3408
42.878,20.75,3424
43.053,19.7343736,3440
43.238,18.8593744,3456
43.423,17.8125,3472
43.603,16.90625,3488
43.78,16.015625,3496
43.967,14.796875,3512
44.154,13.515625,3528
44.34,11.96875,3544
44.517,10.5625,3560
44.699,9.125,3568
44.874,8.34375,3584
45.056,9.234375,3600
45.239,11.203125,3616
45.428,13.4375,3632
45.611,15.484375,3648
45.79,17.5625,3656
45.965,20.0,3672
46.144,21.2031252,3688
46.323,19.9218752,3704
46.508,17.125,3720
46.688,15.328125,3728
46.871,13.703125,3744
47.052,12.4375,3760
47.233,10.890625,3776
47.419,9.75,3792
47.603,10.09375,3808
47.781,11.53125,3816
47.962,13.125,3832
48.146,15.0,3848
48.336,16.90625,3864
48.517,18.4375,3880
48.698,19.875,3888
